

NUMERO ELEMENTI: 500
INSIEME ORDINATO
INSIEME INV_ORDINATO
Selection Sort ; 49995000  ; 9999      ; 0.082000
Insertion Sort ; 49995000  ; 50004999  ; 0.119000
Quick Sort     ; 50014998  ; 9999      ; 0.092000
Heap Sort      ; 64608     ; 133616    ; 0.001000
Merge Sort     ; 226720    ; 131695    ; 0.001000


INSIEME CASUALE
Selection Sort ; 49995000  ; 9999      ; 0.079000
Insertion Sort ; 24788130  ; 24788130  ; 0.059000
Quick Sort     ; 597039    ; 25590     ; 0.001000
Heap Sort      ; 120226    ; 133616    ; 0.000000
Merge Sort     ; 235508    ; 139402    ; 0.001000



NUMERO ELEMENTI: 20000
INSIEME ORDINATO
Selection Sort ; 199990000 ; 19999     ; 0.366000
Insertion Sort ; 19999     ; 19999     ; 0.000000
Quick Sort     ; 200029998 ; 19999     ; 0.365000
Heap Sort      ; 148016    ; 287232    ; 0.001000
Merge Sort     ; 529096    ; 312877    ; 0.002000


INSIEME QUASI_ORDINATO
Selection Sort ; 199990000 ; 19999     ; 0.318000
Insertion Sort ; 124369864 ; 124369865 ; 0.295000
Quick Sort     ; 48755383  ; 45301     ; 0.090000
Heap Sort      ; 199294    ; 287232    ; 0.001000
Merge Sort     ; 515928    ; 295428    ; 0.002000


INSIEME INV_ORDINATO
Selection Sort ; 199990000 ; 19999     ; 0.356000
Insertion Sort ; 199990000 ; 200009999 ; 0.469000
Quick Sort     ; 200029998 ; 19999     ; 0.367000
Heap Sort      ; 139216    ; 287232    ; 0.001000
Merge Sort     ; 493382    ; 284333    ; 0.002000


INSIEME CASUALE
Selection Sort ; 199990000 ; 19999     ; 0.319000
Insertion Sort ; 98251613  ; 98251617  ; 0.231000
Quick Sort     ; 2187792   ; 50482     ; 0.004000
Heap Sort      ; 260412    ; 287232    ; 0.002000
Merge Sort     ; 511326    ; 298891    ; 0.002000



NUMERO ELEMENTI: 50000
INSIEME ORDINATO
Selection Sort ; 1249975000; 49999     ; 2.270000
Insertion Sort ; 49999     ; 49999     ; 0.000000
Quick Sort     ; 1250074998; 49999     ; 2.290000
Heap Sort      ; 401952    ; 784464    ; 0.002000
Merge Sort     ; 1455476   ; 848303    ; 0.005000


INSIEME QUASI_ORDINATO
Selection Sort ; 1249975000; 49999     ; 2.052000
Insertion Sort ; 779869455 ; 779869456 ; 1.839000
Quick Sort     ; 304528409 ; 114683    ; 0.558000
Heap Sort      ; 547175    ; 784464    ; 0.003000
Merge Sort     ; 1422404   ; 804857    ; 0.005000


INSIEME INV_ORDINATO
Selection Sort ; 1249975000; 49999     ; 2.261000
Insertion Sort ; 1249975000; 1250024999; 2.945000
Quick Sort     ; 1250074998; 49999     ; 2.291000
Heap Sort      ; 382512    ; 784464    ; 0.002000
Merge Sort     ; 1366152   ; 773891    ; 0.005000


INSIEME CASUALE
Selection Sort ; 1249975000; 49999     ; 2.177000
Insertion Sort ; 614935408 ; 614935413 ; 1.462000
Quick Sort     ; 12888585  ; 128573    ; 0.028000
Heap Sort      ; 716888    ; 784464    ; 0.005000
Merge Sort     ; 1411032   ; 813765    ; 0.006000

